;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/09/2021 20:39:39
;----------------------------------------------

;Address Opcode 	ASM
0x0293	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1703 :: 		
0x0294	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1704 :: 		
0x0295	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1705 :: 		
0x0296	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1706 :: 		
0x0297	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1707 :: 		
0x0298	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1708 :: 		
0x0299	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1709 :: 		
0x029A	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1710 :: 		
0x029B	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1711 :: 		
0x029C	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1712 :: 		
0x029D	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1713 :: 		
0x029E	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1714 :: 		
0x029F	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1715 :: 		
0x02A0	0x0100      	CLRW
;__Lib_Math.c,1716 :: 		
0x02A1	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1717 :: 		
0x02A2	0x3001      	MOVLW      1
;__Lib_Math.c,1718 :: 		
0x02A3	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1719 :: 		
0x02A4	0x2AB6      	GOTO       UOK22LD
;__Lib_Math.c,1721 :: 		
UADD22LD:
;__Lib_Math.c,1722 :: 		
0x02A5	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1723 :: 		
0x02A6	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1724 :: 		
0x02A7	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1725 :: 		
0x02A8	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1726 :: 		
0x02A9	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1727 :: 		
0x02AA	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1728 :: 		
0x02AB	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1729 :: 		
0x02AC	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1730 :: 		
0x02AD	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1731 :: 		
0x02AE	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1732 :: 		
0x02AF	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1733 :: 		
0x02B0	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1734 :: 		
0x02B1	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1735 :: 		
0x02B2	0x0100      	CLRW
;__Lib_Math.c,1736 :: 		
0x02B3	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1737 :: 		
0x02B4	0x3001      	MOVLW      1
;__Lib_Math.c,1738 :: 		
0x02B5	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1740 :: 		
UOK22LD:
;__Lib_Math.c,1741 :: 		
0x02B6	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,1743 :: 		
0x02B7	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1744 :: 		
0x02B8	0x2A8A      	GOTO       LOOPU3232D
;__Lib_Math.c,1746 :: 		
0x02B9	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,1747 :: 		
0x02BA	0x2AC9      	GOTO       UOK22L
;__Lib_Math.c,1748 :: 		
0x02BB	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1749 :: 		
0x02BC	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1750 :: 		
0x02BD	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1751 :: 		
0x02BE	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1752 :: 		
0x02BF	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1753 :: 		
0x02C0	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1754 :: 		
0x02C1	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1755 :: 		
0x02C2	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1756 :: 		
0x02C3	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1757 :: 		
0x02C4	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1758 :: 		
0x02C5	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1759 :: 		
0x02C6	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1760 :: 		
0x02C7	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1761 :: 		
0x02C8	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1763 :: 		
UOK22L:
;__Lib_Math.c,1766 :: 		
L_end_Div_32x32_U:
0x02C9	0x0008      	RETURN
; end of _Div_32x32_U
_NRM4032:
;__Lib_MathDouble.c,245 :: 		
;__Lib_MathDouble.c,252 :: 		
;__Lib_MathDouble.c,254 :: 		
0x02CA	0x187C      	BTFSC      R12, 0
;__Lib_MathDouble.c,255 :: 		
0x02CB	0x2B00      	GOTO       NRMRND4032
;__Lib_MathDouble.c,256 :: 		
0x02CC	0x18FC      	BTFSC      R12, 1
;__Lib_MathDouble.c,257 :: 		
0x02CD	0x2AD1      	GOTO       NRM4032
;__Lib_MathDouble.c,258 :: 		
0x02CE	0x197C      	BTFSC      R12, 2
;__Lib_MathDouble.c,259 :: 		
0x02CF	0x2B1F      	GOTO       JMPSETFOV32
;__Lib_MathDouble.c,260 :: 		
0x02D0	0x2ACA      	GOTO       $-6
;__Lib_MathDouble.c,261 :: 		
NRM4032:
;__Lib_MathDouble.c,262 :: 		
0x02D1	0x01A1      	CLRF       __math_tempbD
;__Lib_MathDouble.c,263 :: 		
0x02D2	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,264 :: 		
0x02D3	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,265 :: 		
0x02D4	0x2AF1      	GOTO       NORM4032
;__Lib_MathDouble.c,266 :: 		
0x02D5	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,267 :: 		
0x02D6	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,268 :: 		
0x02D7	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,269 :: 		
0x02D8	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,270 :: 		
0x02D9	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,271 :: 		
0x02DA	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,272 :: 		
0x02DB	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,273 :: 		
0x02DC	0x15A1      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,275 :: 		
0x02DD	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,276 :: 		
0x02DE	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,277 :: 		
0x02DF	0x2AF1      	GOTO       NORM4032
;__Lib_MathDouble.c,278 :: 		
0x02E0	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,279 :: 		
0x02E1	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,280 :: 		
0x02E2	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,281 :: 		
0x02E3	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,282 :: 		
0x02E4	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,283 :: 		
0x02E5	0x11A1      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,284 :: 		
0x02E6	0x1621      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,286 :: 		
0x02E7	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,287 :: 		
0x02E8	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,288 :: 		
0x02E9	0x2AF1      	GOTO       NORM4032
;__Lib_MathDouble.c,289 :: 		
0x02EA	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,290 :: 		
0x02EB	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,291 :: 		
0x02EC	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,292 :: 		
0x02ED	0x15A1      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,294 :: 		
0x02EE	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,295 :: 		
0x02EF	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,296 :: 		
0x02F0	0x2B13      	GOTO       JMPRES032
;__Lib_MathDouble.c,297 :: 		
NORM4032:
;__Lib_MathDouble.c,298 :: 		
0x02F1	0x0821      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,299 :: 		
0x02F2	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,300 :: 		
0x02F3	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,301 :: 		
0x02F4	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,302 :: 		
0x02F5	0x2B17      	GOTO       JMPSETFUN32
;__Lib_MathDouble.c,303 :: 		
0x02F6	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,304 :: 		
NORM4032A:
;__Lib_MathDouble.c,305 :: 		
0x02F7	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,306 :: 		
0x02F8	0x2B00      	GOTO       NRMRND4032
;__Lib_MathDouble.c,307 :: 		
0x02F9	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,308 :: 		
0x02FA	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,309 :: 		
0x02FB	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,310 :: 		
0x02FC	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,311 :: 		
0x02FD	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,312 :: 		
0x02FE	0x2AF7      	GOTO       NORM4032A
;__Lib_MathDouble.c,313 :: 		
0x02FF	0x2B17      	GOTO       JMPSETFUN32
;__Lib_MathDouble.c,314 :: 		
NRMRND4032:
;__Lib_MathDouble.c,315 :: 		
0x0300	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,316 :: 		
0x0301	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,317 :: 		
0x0302	0x2B1B      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,318 :: 		
0x0303	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,319 :: 		
0x0304	0x2B1B      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,320 :: 		
0x0305	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,321 :: 		
0x0306	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,322 :: 		
0x0307	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,323 :: 		
0x0308	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,324 :: 		
0x0309	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,325 :: 		
0x030A	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,326 :: 		
0x030B	0x2B1B      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,327 :: 		
0x030C	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,328 :: 		
0x030D	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,329 :: 		
0x030E	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,330 :: 		
0x030F	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,331 :: 		
0x0310	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,332 :: 		
0x0311	0x2B1F      	GOTO       JMPSETFOV32
;__Lib_MathDouble.c,333 :: 		
0x0312	0x2B1B      	GOTO       JMPFIXSIGN32
;__Lib_MathDouble.c,334 :: 		
JMPRES032:
;__Lib_MathDouble.c,335 :: 		
0x0313	0x3001      	MOVLW      1
;__Lib_MathDouble.c,336 :: 		
0x0314	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,338 :: 		
0x0315	0x2084      	CALL       _RES032
;__Lib_MathDouble.c,340 :: 		
0x0316	0x2B22      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,341 :: 		
JMPSETFUN32:
;__Lib_MathDouble.c,342 :: 		
0x0317	0x3002      	MOVLW      2
;__Lib_MathDouble.c,343 :: 		
0x0318	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,345 :: 		
0x0319	0x208B      	CALL       _SETFUN32
;__Lib_MathDouble.c,347 :: 		
0x031A	0x2B22      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,348 :: 		
JMPFIXSIGN32:
;__Lib_MathDouble.c,349 :: 		
0x031B	0x3004      	MOVLW      4
;__Lib_MathDouble.c,350 :: 		
0x031C	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,352 :: 		
0x031D	0x2102      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,354 :: 		
0x031E	0x2B22      	GOTO       NRM4032EEE
;__Lib_MathDouble.c,355 :: 		
JMPSETFOV32:
;__Lib_MathDouble.c,356 :: 		
0x031F	0x3008      	MOVLW      8
;__Lib_MathDouble.c,357 :: 		
0x0320	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,359 :: 		
0x0321	0x209F      	CALL       _SETFOV32
;__Lib_MathDouble.c,361 :: 		
NRM4032EEE:
;__Lib_MathDouble.c,362 :: 		
0x0322	0x0000      	NOP
;__Lib_MathDouble.c,370 :: 		
L_end_NRM4032:
0x0323	0x0008      	RETURN
; end of _NRM4032
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x0324	0x2B36      	GOTO       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x0325	0x3080      	MOVLW      128
0x0326	0x1283      	BCF        STATUS, 5
0x0327	0x1303      	BCF        STATUS, 6
0x0328	0x00ED      	MOVWF      FARG_Lcd_Chr_row
0x0329	0x2B49      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x032A	0x30C0      	MOVLW      192
0x032B	0x00ED      	MOVWF      FARG_Lcd_Chr_row
0x032C	0x2B49      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x032D	0x3094      	MOVLW      148
0x032E	0x00ED      	MOVWF      FARG_Lcd_Chr_row
0x032F	0x2B49      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x0330	0x30D4      	MOVLW      212
0x0331	0x00ED      	MOVWF      FARG_Lcd_Chr_row
0x0332	0x2B49      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x0333	0x3080      	MOVLW      128
0x0334	0x00ED      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,72 :: 		
0x0335	0x2B49      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x0336	0x1283      	BCF        STATUS, 5
0x0337	0x1303      	BCF        STATUS, 6
0x0338	0x086D      	MOVF       FARG_Lcd_Chr_row, 0
0x0339	0x3A01      	XORLW      1
0x033A	0x1903      	BTFSC      STATUS, 2
0x033B	0x2B25      	GOTO       L_Lcd_Chr6
0x033C	0x086D      	MOVF       FARG_Lcd_Chr_row, 0
0x033D	0x3A02      	XORLW      2
0x033E	0x1903      	BTFSC      STATUS, 2
0x033F	0x2B2A      	GOTO       L_Lcd_Chr7
0x0340	0x086D      	MOVF       FARG_Lcd_Chr_row, 0
0x0341	0x3A03      	XORLW      3
0x0342	0x1903      	BTFSC      STATUS, 2
0x0343	0x2B2D      	GOTO       L_Lcd_Chr8
0x0344	0x086D      	MOVF       FARG_Lcd_Chr_row, 0
0x0345	0x3A04      	XORLW      4
0x0346	0x1903      	BTFSC      STATUS, 2
0x0347	0x2B30      	GOTO       L_Lcd_Chr9
0x0348	0x2B33      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x0349	0x036E      	DECF       FARG_Lcd_Chr_column, 0
0x034A	0x00F0      	MOVWF      R0
0x034B	0x086D      	MOVF       FARG_Lcd_Chr_row, 0
0x034C	0x07F0      	ADDWF      R0, 1
0x034D	0x0870      	MOVF       R0, 0
0x034E	0x00ED      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x034F	0x1456      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x0350	0x0870      	MOVF       R0, 0
0x0351	0x1683      	BSF        STATUS, 5
0x0352	0x00A0      	MOVWF      FARG_Lcd_Cmd_out_char
0x0353	0x20AB      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x0354	0x1056      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
0x0355	0x086F      	MOVF       FARG_Lcd_Chr_out_char, 0
0x0356	0x1683      	BSF        STATUS, 5
0x0357	0x00A0      	MOVWF      FARG_Lcd_Cmd_out_char
0x0358	0x20AB      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x0359	0x1456      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x035A	0x0008      	RETURN
; end of _Lcd_Chr
_ADC_Read:
;__Lib_ADC_A_C.c,68 :: 		
;__Lib_ADC_A_C.c,70 :: 		
0x035B	0x1283      	BCF        STATUS, 5
0x035C	0x1303      	BCF        STATUS, 6
0x035D	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,71 :: 		
0x035E	0x30C0      	MOVLW      192
0x035F	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,72 :: 		
0x0360	0x092C      	COMF       _vref_mask, 0
0x0361	0x00F0      	MOVWF      R0
0x0362	0x0870      	MOVF       R0, 0
0x0363	0x1683      	BSF        STATUS, 5
0x0364	0x059F      	ANDWF      ADCON1, 1
;__Lib_ADC_A_C.c,73 :: 		
0x0365	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,74 :: 		
0x0366	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,75 :: 		
0x0367	0x1283      	BCF        STATUS, 5
0x0368	0x086D      	MOVF       FARG_ADC_Read_channel, 0
0x0369	0x00F0      	MOVWF      R0
0x036A	0x0DF0      	RLF        R0, 1
0x036B	0x1070      	BCF        R0, 0
0x036C	0x0DF0      	RLF        R0, 1
0x036D	0x1070      	BCF        R0, 0
0x036E	0x0DF0      	RLF        R0, 1
0x036F	0x1070      	BCF        R0, 0
0x0370	0x0870      	MOVF       R0, 0
0x0371	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,78 :: 		
0x0372	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,81 :: 		
0x0373	0x2097      	CALL       _Delay_22us
;__Lib_ADC_A_C.c,84 :: 		
0x0374	0x151F      	BSF        ADCON0, 2
;__Lib_ADC_A_C.c,87 :: 		
L_ADC_Read2:
0x0375	0x1D1F      	BTFSS      ADCON0, 2
0x0376	0x2B79      	GOTO       L_ADC_Read3
;__Lib_ADC_A_C.c,88 :: 		
0x0377	0x0000      	NOP
0x0378	0x2B75      	GOTO       L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_C.c,91 :: 		
0x0379	0x101F      	BCF        ADCON0, 0
;__Lib_ADC_A_C.c,94 :: 		
0x037A	0x081E      	MOVF       ADRESH, 0
0x037B	0x00F1      	MOVWF      R0+1
0x037C	0x01F0      	CLRF       R0
0x037D	0x1683      	BSF        STATUS, 5
0x037E	0x081E      	MOVF       ADRESL, 0
0x037F	0x04F0      	IORWF      R0, 1
0x0380	0x3000      	MOVLW      0
0x0381	0x04F1      	IORWF      R0+1, 1
;__Lib_ADC_A_C.c,95 :: 		
L_end_ADC_Read:
0x0382	0x0008      	RETURN
; end of _ADC_Read
_Add_32x32_FP:
;__Lib_MathDouble.c,379 :: 		
;__Lib_MathDouble.c,390 :: 		
;__Lib_MathDouble.c,392 :: 		
0x0383	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,393 :: 		
0x0384	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,394 :: 		
0x0385	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,395 :: 		
0x0386	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,396 :: 		
0x0387	0x00A1      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,398 :: 		
0x0388	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,399 :: 		
0x0389	0x01F9      	CLRF       R9
;__Lib_MathDouble.c,401 :: 		
0x038A	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,402 :: 		
0x038B	0x0277      	SUBWF      R7, 0
;__Lib_MathDouble.c,403 :: 		
0x038C	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,404 :: 		
0x038D	0x2BA6      	GOTO       USEA32
;__Lib_MathDouble.c,406 :: 		
0x038E	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,407 :: 		
0x038F	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,408 :: 		
0x0390	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,409 :: 		
0x0391	0x00F7      	MOVWF      R7
;__Lib_MathDouble.c,410 :: 		
0x0392	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,411 :: 		
0x0393	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,413 :: 		
0x0394	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,414 :: 		
0x0395	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,415 :: 		
0x0396	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,416 :: 		
0x0397	0x00F6      	MOVWF      R6
;__Lib_MathDouble.c,417 :: 		
0x0398	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,418 :: 		
0x0399	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,420 :: 		
0x039A	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,421 :: 		
0x039B	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,422 :: 		
0x039C	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,423 :: 		
0x039D	0x00F5      	MOVWF      R5
;__Lib_MathDouble.c,424 :: 		
0x039E	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,425 :: 		
0x039F	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,427 :: 		
0x03A0	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,428 :: 		
0x03A1	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,429 :: 		
0x03A2	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,430 :: 		
0x03A3	0x00F4      	MOVWF      R4
;__Lib_MathDouble.c,431 :: 		
0x03A4	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,432 :: 		
0x03A5	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,433 :: 		
USEA32:
;__Lib_MathDouble.c,434 :: 		
0x03A6	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,435 :: 		
0x03A7	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,436 :: 		
0x03A8	0x2C1F      	GOTO       JMPEEE
;__Lib_MathDouble.c,437 :: 		
0x03A9	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,438 :: 		
0x03AA	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,439 :: 		
0x03AB	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,440 :: 		
0x03AC	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,441 :: 		
0x03AD	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,442 :: 		
0x03AE	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,443 :: 		
0x03AF	0x00F7      	MOVWF      R7
;__Lib_MathDouble.c,444 :: 		
0x03B0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,445 :: 		
0x03B1	0x2BD9      	GOTO       ALIGNED32
;__Lib_MathDouble.c,446 :: 		
0x03B2	0x3008      	MOVLW      8
;__Lib_MathDouble.c,447 :: 		
0x03B3	0x0277      	SUBWF      R7, 0
;__Lib_MathDouble.c,448 :: 		
0x03B4	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,449 :: 		
0x03B5	0x2BCF      	GOTO       ALIGNB32
;__Lib_MathDouble.c,450 :: 		
0x03B6	0x00F7      	MOVWF      R7
;__Lib_MathDouble.c,451 :: 		
0x03B7	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,452 :: 		
0x03B8	0x00F9      	MOVWF      R9
;__Lib_MathDouble.c,453 :: 		
0x03B9	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,454 :: 		
0x03BA	0x00F4      	MOVWF      R4
;__Lib_MathDouble.c,455 :: 		
0x03BB	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,456 :: 		
0x03BC	0x00F5      	MOVWF      R5
;__Lib_MathDouble.c,457 :: 		
0x03BD	0x01F6      	CLRF       R6
;__Lib_MathDouble.c,458 :: 		
0x03BE	0x3008      	MOVLW      8
;__Lib_MathDouble.c,459 :: 		
0x03BF	0x0277      	SUBWF      R7, 0
;__Lib_MathDouble.c,460 :: 		
0x03C0	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,461 :: 		
0x03C1	0x2BCF      	GOTO       ALIGNB32
;__Lib_MathDouble.c,462 :: 		
0x03C2	0x00F7      	MOVWF      R7
;__Lib_MathDouble.c,463 :: 		
0x03C3	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,464 :: 		
0x03C4	0x00F9      	MOVWF      R9
;__Lib_MathDouble.c,465 :: 		
0x03C5	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,466 :: 		
0x03C6	0x00F4      	MOVWF      R4
;__Lib_MathDouble.c,467 :: 		
0x03C7	0x01F5      	CLRF       R5
;__Lib_MathDouble.c,468 :: 		
0x03C8	0x3008      	MOVLW      8
;__Lib_MathDouble.c,469 :: 		
0x03C9	0x0277      	SUBWF      R7, 0
;__Lib_MathDouble.c,470 :: 		
0x03CA	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,471 :: 		
0x03CB	0x2BCF      	GOTO       ALIGNB32
;__Lib_MathDouble.c,472 :: 		
0x03CC	0x087A      	MOVF       R10, 0
;__Lib_MathDouble.c,473 :: 		
0x03CD	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,474 :: 		
0x03CE	0x2C1F      	GOTO       JMPEEE
;__Lib_MathDouble.c,475 :: 		
ALIGNB32:
;__Lib_MathDouble.c,476 :: 		
0x03CF	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,477 :: 		
0x03D0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,478 :: 		
0x03D1	0x2BD9      	GOTO       ALIGNED32
;__Lib_MathDouble.c,479 :: 		
ALOOPB32:
;__Lib_MathDouble.c,480 :: 		
0x03D2	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,481 :: 		
0x03D3	0x0CF6      	RRF        R6, 1
;__Lib_MathDouble.c,482 :: 		
